EmployeeID,MonthStart,WorkingDays,SickLeaveDays,CasualLeaveDays,OvertimeHours
1001,01-02-2021,22,1,2,0
1001,01-03-2021,22,1,0,8
1001,01-04-2021,22,2,0,8
1001,01-05-2021,22,0,0,0
1001,01-06-2021,22,0,0,8
1001,01-07-2021,22,0,0,8
1001,01-08-2021,22,0,0,0
1001,01-09-2021,22,0,0,4
1001,01-10-2021,22,0,1,0
1001,01-11-2021,22,0,1,0
1001,01-12-2021,22,1,1,8
1001,01-01-2022,22,0,0,4
1001,01-02-2022,22,2,0,0
1001,01-03-2022,22,1,2,0
1001,01-04-2022,22,0,0,4
1001,01-05-2022,22,0,0,8
1001,01-06-2022,22,1,1,4
1001,01-07-2022,22,1,0,16
1001,01-08-2022,22,0,1,0
1001,01-09-2022,22,1,2,8
1001,01-10-2022,22,0,1,8
1001,01-11-2022,22,0,0,0
1001,01-12-2022,22,0,1,0
1001,01-01-2023,22,1,1,0
1001,01-02-2023,22,1,0,0
1001,01-03-2023,22,2,1,0
1001,01-04-2023,22,0,1,0
1001,01-05-2023,22,1,2,12
1001,01-06-2023,22,0,0,0
1001,01-07-2023,22,1,0,4
1001,01-08-2023,22,1,0,8
1001,01-09-2023,22,1,1,8
1001,01-10-2023,22,1,0,12
1001,01-11-2023,22,0,0,16
1001,01-12-2023,22,1,0,0
1001,01-01-2024,22,1,0,0
1001,01-02-2024,22,0,1,0
1001,01-03-2024,22,1,0,12
1001,01-04-2024,22,1,0,8
1001,01-05-2024,22,2,0,4
1001,01-06-2024,22,0,1,8
1001,01-07-2024,22,0,0,4
1001,01-08-2024,22,2,1,0
1001,01-09-2024,22,2,0,4
1001,01-10-2024,22,1,0,0
1001,01-11-2024,22,2,1,8
1001,01-12-2024,22,1,0,0
1001,01-01-2025,22,0,0,8
1001,01-02-2025,22,1,1,4
1001,01-03-2025,22,0,0,0
1001,01-04-2025,22,1,0,8
1001,01-05-2025,22,0,0,12
1001,01-06-2025,22,0,0,0
1001,01-07-2025,22,0,1,0
1001,01-08-2025,22,0,1,0
1001,01-09-2025,22,2,0,0
1001,01-10-2025,22,0,0,4
1001,01-11-2025,22,1,1,0
1002,01-08-2024,22,0,0,0
1002,01-09-2024,22,2,1,0
1002,01-10-2024,22,0,2,0
1002,01-11-2024,22,1,2,12
1002,01-12-2024,22,1,0,8
1002,01-01-2025,22,0,0,0
1002,01-02-2025,22,1,0,8
1002,01-03-2025,22,2,0,8
1002,01-04-2025,22,1,1,12
1002,01-05-2025,22,2,0,16
1002,01-06-2025,22,0,0,8
1002,01-07-2025,22,0,0,12
1002,01-08-2025,22,0,0,16
1002,01-09-2025,22,0,0,0
1002,01-10-2025,22,1,1,12
1002,01-11-2025,22,0,0,8
1003,01-06-2025,22,1,0,4
1003,01-07-2025,22,1,1,0
1003,01-08-2025,22,1,0,0
1003,01-09-2025,22,0,1,0
1003,01-10-2025,22,0,0,12
1003,01-11-2025,22,0,0,12
1004,01-05-2023,22,0,1,4
1004,01-06-2023,22,1,0,0
1004,01-07-2023,22,0,1,0
1004,01-08-2023,22,1,0,4
1004,01-09-2023,22,0,1,0
1004,01-10-2023,22,1,0,0
1004,01-11-2023,22,0,1,4
1004,01-12-2023,22,2,1,0
1004,01-01-2024,22,1,1,16
1004,01-02-2024,22,0,1,4
1004,01-03-2024,22,1,0,0
1004,01-04-2024,22,0,1,0
1004,01-05-2024,22,3,0,8
1004,01-06-2024,22,2,1,0
1004,01-07-2024,22,0,2,8
1004,01-08-2024,22,1,2,0
1004,01-09-2024,22,1,0,0
1004,01-10-2024,22,1,1,0
1004,01-11-2024,22,1,0,0
1004,01-12-2024,22,2,2,0
1004,01-01-2025,22,0,2,0
1004,01-02-2025,22,1,0,0
1004,01-03-2025,22,1,1,0
1004,01-04-2025,22,2,1,0
1004,01-05-2025,22,0,2,4
1004,01-06-2025,22,0,0,8
1004,01-07-2025,22,1,0,0
1004,01-08-2025,22,1,0,0
1004,01-09-2025,22,0,1,4
1004,01-10-2025,22,0,0,0
1004,01-11-2025,22,0,0,0
1005,01-12-2019,22,0,0,0
1005,01-01-2020,22,0,3,0
1005,01-02-2020,22,1,0,0
1005,01-03-2020,22,0,0,0
1005,01-04-2020,22,0,0,0
1005,01-05-2020,22,0,2,0
1005,01-06-2020,22,0,2,0
1005,01-07-2020,22,2,2,4
1005,01-08-2020,22,1,0,8
1005,01-09-2020,22,1,1,0
1005,01-10-2020,22,0,0,4
1005,01-11-2020,22,0,0,20
1005,01-12-2020,22,1,0,4
1005,01-01-2021,22,0,0,0
1005,01-02-2021,22,0,1,0
1005,01-03-2021,22,0,0,4
1005,01-04-2021,22,1,1,4
1005,01-05-2021,22,1,0,16
1005,01-06-2021,22,0,2,4
1005,01-07-2021,22,0,0,0
1005,01-08-2021,22,1,0,0
1005,01-09-2021,22,0,0,12
1005,01-10-2021,22,0,1,8
1005,01-11-2021,22,1,1,4
1005,01-12-2021,22,2,0,0
1005,01-01-2022,22,0,0,8
1005,01-02-2022,22,0,0,8
1005,01-03-2022,22,1,0,0
1005,01-04-2022,22,0,2,12
1005,01-05-2022,22,1,1,0
1005,01-06-2022,22,1,0,12
1005,01-07-2022,22,0,1,0
1005,01-08-2022,22,0,2,0
1005,01-09-2022,22,1,0,0
1005,01-10-2022,22,0,2,8
1005,01-11-2022,22,0,1,0
1005,01-12-2022,22,0,0,0
1005,01-01-2023,22,0,0,4
1005,01-02-2023,22,0,1,0
1005,01-03-2023,22,1,0,16
1005,01-04-2023,22,0,2,0
1005,01-05-2023,22,0,0,4
1005,01-06-2023,22,1,0,0
1005,01-07-2023,22,1,1,0
1005,01-08-2023,22,0,0,16
1005,01-09-2023,22,1,0,0
1005,01-10-2023,22,0,1,4
1005,01-11-2023,22,0,0,0
1005,01-12-2023,22,1,1,0
1005,01-01-2024,22,1,0,8
1005,01-02-2024,22,1,0,0
1005,01-03-2024,22,1,0,0
1005,01-04-2024,22,1,0,8
1005,01-05-2024,22,0,1,8
1005,01-06-2024,22,0,1,8
1005,01-07-2024,22,1,1,4
1005,01-08-2024,22,1,0,0
1005,01-09-2024,22,0,1,0
1005,01-10-2024,22,0,1,8
1005,01-11-2024,22,0,0,0
1005,01-12-2024,22,1,0,0
1005,01-01-2025,22,0,0,8
1005,01-02-2025,22,1,1,8
1005,01-03-2025,22,0,1,8
1005,01-04-2025,22,2,0,8
1005,01-05-2025,22,0,1,8
1005,01-06-2025,22,1,0,0
1005,01-07-2025,22,2,0,4
1005,01-08-2025,22,1,0,0
1005,01-09-2025,22,0,0,0
1005,01-10-2025,22,2,0,0
1005,01-11-2025,22,1,0,8
1006,01-02-2023,22,1,1,0
1006,01-03-2023,22,0,1,0
1006,01-04-2023,22,1,2,12
1006,01-05-2023,22,2,0,4
1006,01-06-2023,22,0,0,4
1006,01-07-2023,22,0,0,4
1006,01-08-2023,22,2,0,0
1006,01-09-2023,22,2,1,8
1006,01-10-2023,22,0,0,8
1006,01-11-2023,22,0,1,8
1006,01-12-2023,22,2,1,0
1006,01-01-2024,22,0,1,8
1006,01-02-2024,22,0,2,12
1006,01-03-2024,22,0,1,0
1006,01-04-2024,22,0,0,0
1006,01-05-2024,22,1,0,0
1006,01-06-2024,22,0,0,0
1006,01-07-2024,22,2,1,0
1006,01-08-2024,22,1,0,0
1007,01-11-2024,22,0,2,0
1007,01-12-2024,22,2,0,0
1007,01-01-2025,22,1,0,4
1007,01-02-2025,22,0,0,4
1007,01-03-2025,22,0,0,20
1007,01-04-2025,22,0,0,0
1007,01-05-2025,22,1,0,4
1007,01-06-2025,22,1,2,0
1007,01-07-2025,22,1,2,0
1007,01-08-2025,22,0,2,12
1007,01-09-2025,22,0,2,4
1007,01-10-2025,22,1,1,16
